relative_path,label,class_name,client_id,split,group_id,leaf_group_id,scenario,alpha,quantity_alpha,feature_skew,seed,domain_id
Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,0,Apple___Apple_scab,4,train,partition::00000229,Apple___Apple_scab:::33,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,0,Apple___Apple_scab,4,train,partition::00000199,Apple___Apple_scab:::65,feature_dirichlet,100.0,0.1,synthetic_domain,42,0
Apple___Apple_scab/0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,0,Apple___Apple_scab,4,train,partition::00000397,Apple___Apple_scab:::44,feature_dirichlet,100.0,0.1,synthetic_domain,42,4
Apple___Apple_scab/14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,0,Apple___Apple_scab,4,train,partition::00000512,Apple___Apple_scab:::12,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,0,Apple___Apple_scab,4,train,partition::00000229,Apple___Apple_scab:::33,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG,0,Apple___Apple_scab,4,train,partition::00000540,Apple___Apple_scab:::18,feature_dirichlet,100.0,0.1,synthetic_domain,42,4
Apple___Apple_scab/20f4f8d1-7527-420b-a90d-e17b9e45549a___FREC_Scab 2997.JPG,0,Apple___Apple_scab,4,train,partition::00000540,Apple___Apple_scab:::18,feature_dirichlet,100.0,0.1,synthetic_domain,42,4
Apple___Apple_scab/268a2ad1-d649-4ec0-add3-61cc8f54f479___FREC_Scab 3235.JPG,0,Apple___Apple_scab,4,train,partition::00000392,Apple___Apple_scab:::61,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG,0,Apple___Apple_scab,4,train,partition::00000512,Apple___Apple_scab:::12,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/2e264ee0-7679-4ad2-a19a-1ac4d2e84079___FREC_Scab 2984.JPG,0,Apple___Apple_scab,4,train,partition::00000539,Apple___Apple_scab:::16,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/32550bbb-cdf1-4805-8167-27dc5a8e87d2___FREC_Scab 3195.JPG,0,Apple___Apple_scab,4,train,partition::00000469,Apple___Apple_scab:::55,feature_dirichlet,100.0,0.1,synthetic_domain,42,4
Apple___Apple_scab/35694cb9-efe9-441a-a810-13e065de7925___FREC_Scab 3320.JPG,0,Apple___Apple_scab,4,train,partition::00000605,Apple___Apple_scab:::76,feature_dirichlet,100.0,0.1,synthetic_domain,42,3
Apple___Apple_scab/37659856-0fc8-430b-871a-af4f0b557e49___FREC_Scab 3081.JPG,0,Apple___Apple_scab,4,train,partition::00000229,Apple___Apple_scab:::33,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/40a5e87c-ee32-4d67-9b28-926e94638a1d___FREC_Scab 3251.JPG,0,Apple___Apple_scab,4,train,partition::00000401,Apple___Apple_scab:::64,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/40d60cf0-1311-40c7-9e7e-579e74c92027___FREC_Scab 3136.JPG,0,Apple___Apple_scab,4,train,partition::00000397,Apple___Apple_scab:::44,feature_dirichlet,100.0,0.1,synthetic_domain,42,4
Apple___Apple_scab/41c2bb79-44fb-48f4-864f-eec35e3442f5___FREC_Scab 2931.JPG,0,Apple___Apple_scab,4,train,partition::00000621,Apple___Apple_scab:::6,feature_dirichlet,100.0,0.1,synthetic_domain,42,0
Apple___Apple_scab/43712608-0fa2-4be2-91a0-242aca469cb4___FREC_Scab 2985.JPG,0,Apple___Apple_scab,4,train,partition::00000539,Apple___Apple_scab:::16,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/4442b558-4db4-4de3-82c3-7524b59bb315___FREC_Scab 2961.JPG,0,Apple___Apple_scab,4,train,partition::00000512,Apple___Apple_scab:::12,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/45ee8aaa-1a08-46ed-8ac8-bba8e40c61d6___FREC_Scab 2986.JPG,0,Apple___Apple_scab,4,train,partition::00000539,Apple___Apple_scab:::16,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/470bece4-7eb2-4ec1-917a-278559afe463___FREC_Scab 3250.JPG,0,Apple___Apple_scab,4,train,partition::00000401,Apple___Apple_scab:::64,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/4abca5eb-2376-4551-be42-25bbb5400fc7___FREC_Scab 3268.JPG,0,Apple___Apple_scab,4,train,partition::00000483,Apple___Apple_scab:::68,feature_dirichlet,100.0,0.1,synthetic_domain,42,4
Apple___Apple_scab/4bb38e05-1d5a-40c6-8638-10db134db682___FREC_Scab 3390.JPG,0,Apple___Apple_scab,4,train,partition::00000574,Apple___Apple_scab:::87,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082.JPG,0,Apple___Apple_scab,4,train,partition::00000229,Apple___Apple_scab:::33,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/4d3bcf15-cc49-4189-82e1-780efdf625a8___FREC_Scab 3254.JPG,0,Apple___Apple_scab,4,train,partition::00000199,Apple___Apple_scab:::65,feature_dirichlet,100.0,0.1,synthetic_domain,42,0
Apple___Apple_scab/518ab601-3736-4d3b-9770-a0efba601c0e___FREC_Scab 3231.JPG,0,Apple___Apple_scab,4,train,partition::00000392,Apple___Apple_scab:::61,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/53d37faf-7a68-4fe2-ac1f-5438637742d4___FREC_Scab 3080.JPG,0,Apple___Apple_scab,4,train,partition::00000229,Apple___Apple_scab:::33,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/550b0aab-e777-4942-a186-fc910e0fa89b___FREC_Scab 3253.JPG,0,Apple___Apple_scab,4,train,partition::00000199,Apple___Apple_scab:::65,feature_dirichlet,100.0,0.1,synthetic_domain,42,0
Apple___Apple_scab/5893bd90-486f-42cf-9fcd-a4dc1e208246___FREC_Scab 3236.JPG,0,Apple___Apple_scab,4,train,partition::00000392,Apple___Apple_scab:::61,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/5a923f64-b733-47a7-90f5-2786cd9c85ce___FREC_Scab 3234.JPG,0,Apple___Apple_scab,4,train,partition::00000392,Apple___Apple_scab:::61,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
Apple___Apple_scab/5fcb921d-3329-443c-a708-37c3943f5493___FREC_Scab 2987.JPG,0,Apple___Apple_scab,4,train,partition::00000539,Apple___Apple_scab:::16,feature_dirichlet,100.0,0.1,synthetic_domain,42,1
Apple___Apple_scab/6344cfa8-2c26-4498-b366-817d56285212___FREC_Scab 2964.JPG,0,Apple___Apple_scab,4,train,partition::00000512,Apple___Apple_scab:::12,feature_dirichlet,100.0,0.1,synthetic_domain,42,2
