relative_path,label,class_name,client_id,split,group_id,leaf_group_id,scenario,alpha,quantity_alpha,feature_skew,seed,domain_id
Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,0,Apple___Apple_scab,3,train,partition::00000615,Apple___Apple_scab:::25,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,0,Apple___Apple_scab,3,train,partition::00000599,Apple___Apple_scab:::78,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,0,Apple___Apple_scab,3,train,partition::00000229,Apple___Apple_scab:::33,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,0,Apple___Apple_scab,3,train,partition::00000538,Apple___Apple_scab:::9,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG,0,Apple___Apple_scab,3,train,partition::00000570,Apple___Apple_scab:::54,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,0,Apple___Apple_scab,3,train,partition::00000229,Apple___Apple_scab:::33,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/1962d1ec-fb66-4583-b631-81cd23ecf063___FREC_Scab 3238.JPG,0,Apple___Apple_scab,3,train,partition::00000545,Apple___Apple_scab:::62,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,0,Apple___Apple_scab,3,train,partition::00000570,Apple___Apple_scab:::54,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG,0,Apple___Apple_scab,3,train,partition::00000606,Apple___Apple_scab:::108,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG,0,Apple___Apple_scab,3,train,partition::00000540,Apple___Apple_scab:::18,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/20f4f8d1-7527-420b-a90d-e17b9e45549a___FREC_Scab 2997.JPG,0,Apple___Apple_scab,3,train,partition::00000540,Apple___Apple_scab:::18,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/222a9802-f14c-433e-9d18-d0668ed3c279___FREC_Scab 3239.JPG,0,Apple___Apple_scab,3,train,partition::00000545,Apple___Apple_scab:::62,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/24d43ad3-24e6-4236-8ef7-59b268520ca3___FREC_Scab 3533.JPG,0,Apple___Apple_scab,3,train,partition::00000606,Apple___Apple_scab:::108,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/252087d7-57c9-4ebe-b6c4-840d6c5dfcb1___FREC_Scab 3329.JPG,0,Apple___Apple_scab,3,train,partition::00000599,Apple___Apple_scab:::78,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/29ab8216-ec38-4efd-9c77-21068fa899a4___FREC_Scab 3241.JPG,0,Apple___Apple_scab,3,train,partition::00000545,Apple___Apple_scab:::62,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG,0,Apple___Apple_scab,3,train,partition::00000545,Apple___Apple_scab:::62,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG,0,Apple___Apple_scab,3,train,partition::00000606,Apple___Apple_scab:::108,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/35fde58e-46ea-4d1b-9580-ead7a2d0cb3b___FREC_Scab 2952.JPG,0,Apple___Apple_scab,3,train,partition::00000398,Apple___Apple_scab:::10,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/37659856-0fc8-430b-871a-af4f0b557e49___FREC_Scab 3081.JPG,0,Apple___Apple_scab,3,train,partition::00000229,Apple___Apple_scab:::33,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/4495850d-4478-4680-a657-c082a8ea69ed___FREC_Scab 3534.JPG,0,Apple___Apple_scab,3,train,partition::00000606,Apple___Apple_scab:::108,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/4512edee-9d3b-451e-845d-86666feebe99___FREC_Scab 3328.JPG,0,Apple___Apple_scab,3,train,partition::00000599,Apple___Apple_scab:::78,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/48e62e54-d02a-41bb-8486-234408706e69___FREC_Scab 3190.JPG,0,Apple___Apple_scab,3,train,partition::00000570,Apple___Apple_scab:::54,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/4a7f12ff-a785-4d12-8943-f1644789a21b___FREC_Scab 2916.JPG,0,Apple___Apple_scab,3,train,partition::00000619,Apple___Apple_scab:::3,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/4abca5eb-2376-4551-be42-25bbb5400fc7___FREC_Scab 3268.JPG,0,Apple___Apple_scab,3,train,partition::00000483,Apple___Apple_scab:::68,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082.JPG,0,Apple___Apple_scab,3,train,partition::00000229,Apple___Apple_scab:::33,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/4e2c27a7-4be1-4c86-a07b-bc2a64c1bff9___FREC_Scab 3018.JPG,0,Apple___Apple_scab,3,train,partition::00000575,Apple___Apple_scab:::21,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/51929389-451f-4c78-a66b-b644e82a33b6___FREC_Scab 3528.JPG,0,Apple___Apple_scab,3,train,partition::00000606,Apple___Apple_scab:::108,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/53d37faf-7a68-4fe2-ac1f-5438637742d4___FREC_Scab 3080.JPG,0,Apple___Apple_scab,3,train,partition::00000229,Apple___Apple_scab:::33,quantity_skew,0.1,100.0,none,42,-1
Apple___Apple_scab/5581f206-7305-4430-be5f-8de62689fb70___FREC_Scab 2918.JPG,0,Apple___Apple_scab,3,train,partition::00000619,Apple___Apple_scab:::3,quantity_skew,0.1,100.0,none,42,-1
