round,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,lr,next_lr,bad_rounds,is_best,duration_seconds,participating_clients,processed_examples,optimizer_steps,skipped_optimizer_steps,payload_bytes
1,0.435061217256416,0.8904637474595508,1.3379393844815997,0.666969641883294,0.4821016548729342,0.01,0.01,0,True,273.7094850540161,10,37887,2340,32,125518880
2,0.19192628981817195,0.946868318948452,0.5815516895658752,0.828031267042356,0.7172699676294083,0.01,0.01,0,True,187.60487055778503,10,37887,2344,28,125518880
3,0.12860478285214744,0.9615963259165413,0.3389319280743832,0.9009271041628795,0.8305358351449588,0.01,0.01,0,True,175.16256880760193,10,37887,2346,26,125518880
4,0.09857003784968295,0.9703328318420567,0.2133153030344023,0.9407380476277041,0.9124930991666548,0.01,0.01,0,True,174.8259675502777,10,37887,2349,23,125518880
5,0.08177101722823124,0.9757700530524982,0.20672754928273437,0.9338302126886021,0.9092762014936033,0.01,0.01,0,True,177.51149225234985,10,37887,2349,23,125518880
6,0.07666285983869013,0.9765090928286747,0.12741762131711623,0.9610979821850573,0.9446193119541663,0.01,0.01,0,True,177.35666418075562,10,37887,2346,26,125518880
7,0.06102819881522735,0.9815240055955868,0.18166257868367022,0.9398291219778222,0.9204638093915873,0.01,0.01,0,False,174.69824814796448,10,37887,2348,24,125518880
8,0.06347841900419261,0.9815240055955868,0.10936644401244647,0.9656426104344664,0.950329008463163,0.01,0.01,0,True,173.7183175086975,10,37887,2349,23,125518880
9,0.054733452528619594,0.9834243935914694,0.09950885399744967,0.9700054535538993,0.9565435726815873,0.01,0.01,0,True,173.46975111961365,10,37887,2348,24,125518880
10,0.0499360775333785,0.9842954047562489,0.08940819500337954,0.9698236684239229,0.9577120851978805,0.01,0.01,0,True,171.921240568161,10,37887,2346,26,125518880
11,0.05009489624603517,0.9850080502547047,0.0764389486047866,0.9758225777131431,0.9685614570761478,0.01,0.01,0,True,176.37338399887085,10,37887,2352,20,125518880
12,0.048897280754807954,0.9847705017552195,0.06488638776197518,0.9798218505726232,0.9720843712842406,0.01,0.01,0,True,173.84770274162292,10,37887,2349,23,125518880
13,0.04728724852475252,0.9850872330878665,0.08148660330753697,0.9740047264133794,0.9628417116095683,0.01,0.01,1,False,168.47083473205566,10,37887,2349,23,125518880
