class_id,support,precision,recall,f1,class_name
0,130,0.9923664122137404,1.0,0.9961685823754789,Apple___Apple_scab
1,124,1.0,1.0,1.0,Apple___Black_rot
2,55,1.0,1.0,1.0,Apple___Cedar_apple_rust
3,330,1.0,1.0,1.0,Apple___healthy
4,309,1.0,0.9967637540453075,0.9983792544570502,Blueberry___healthy
5,211,1.0,1.0,1.0,Cherry_(including_sour)___Powdery_mildew
6,173,1.0,1.0,1.0,Cherry_(including_sour)___healthy
7,103,0.9326923076923077,0.941747572815534,0.9371980676328503,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
8,238,1.0,0.9957983193277311,0.9978947368421053,Corn_(maize)___Common_rust_
9,197,0.9642857142857143,0.9593908629441624,0.9618320610687023,Corn_(maize)___Northern_Leaf_Blight
10,232,1.0,1.0,1.0,Corn_(maize)___healthy
11,236,0.9957264957264957,0.9872881355932204,0.9914893617021276,Grape___Black_rot
12,280,0.9964285714285714,0.9964285714285714,0.9964285714285714,Grape___Esca_(Black_Measles)
13,216,0.9773755656108597,1.0,0.9885583524027459,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
14,85,1.0,1.0,1.0,Grape___healthy
15,1104,1.0,1.0,1.0,Orange___Haunglongbing_(Citrus_greening)
16,461,0.9935205183585313,0.9978308026030369,0.9956709956709956,Peach___Bacterial_spot
17,73,0.9863013698630136,0.9863013698630136,0.9863013698630136,Peach___healthy
18,200,1.0,0.98,0.98989898989899,"Pepper,_bell___Bacterial_spot"
19,298,0.9833887043189369,0.9932885906040269,0.9883138564273789,"Pepper,_bell___healthy"
20,200,1.0,1.0,1.0,Potato___Early_blight
21,200,0.9894179894179894,0.935,0.9614395886889462,Potato___Late_blight
22,32,1.0,0.875,0.9333333333333333,Potato___healthy
23,86,0.9885057471264368,1.0,0.9942196531791908,Raspberry___healthy
24,1022,0.9980430528375733,0.9980430528375733,0.9980430528375733,Soybean___healthy
25,367,0.9972826086956522,1.0,0.998639455782313,Squash___Powdery_mildew
26,223,1.0,1.0,1.0,Strawberry___Leaf_scorch
27,92,1.0,0.9891304347826086,0.994535519125683,Strawberry___healthy
28,428,0.9906759906759907,0.9929906542056075,0.9918319719953325,Tomato___Bacterial_spot
29,200,0.9641025641025641,0.94,0.9518987341772152,Tomato___Early_blight
30,382,0.9358024691358025,0.9921465968586387,0.963151207115629,Tomato___Late_blight
31,192,0.9894179894179894,0.9739583333333334,0.9816272965879265,Tomato___Leaf_Mold
32,357,1.0,0.988795518207283,0.9943661971830986,Tomato___Septoria_leaf_spot
33,336,0.9849397590361446,0.9732142857142857,0.9790419161676647,Tomato___Spider_mites Two-spotted_spider_mite
34,281,0.9508771929824561,0.9644128113879004,0.9575971731448762,Tomato___Target_Spot
35,1071,0.9990654205607477,0.9981325863678805,0.998598785614199,Tomato___Tomato_Yellow_Leaf_Curl_Virus
36,75,1.0,0.9866666666666667,0.9932885906040269,Tomato___Tomato_mosaic_virus
37,318,0.9905956112852664,0.9937106918238994,0.9921507064364207,Tomato___healthy
